rank,distance,queryIdx,trainIdx
1,2.963916301727295,82,9
2,3.0896973609924316,13,20
3,3.147489547729492,16,48
4,3.1821391582489014,100,198
5,3.2058119773864746,43,177
6,3.2189791202545166,155,155
7,3.2628774642944336,181,181
8,3.263357400894165,51,51
9,3.288726806640625,45,41
10,3.295295476913452,75,9
11,3.2965052127838135,178,102
12,3.3244059085845947,72,70
13,3.3528330326080322,98,177
14,3.36592173576355,180,180
15,3.3768720626831055,126,125
16,3.3779397010803223,102,102
17,3.396745443344116,44,178
18,3.3972854614257812,53,130
19,3.404048442840576,38,37
20,3.4372174739837646,73,15
21,3.439483165740967,152,74
22,3.443507194519043,18,15
23,3.4435532093048096,49,41
24,3.4452624320983887,17,11
25,3.470390796661377,9,60
26,3.4766759872436523,22,178
27,3.4826369285583496,129,123
28,3.48494291305542,10,118
29,3.4911742210388184,153,153
30,3.4965758323669434,83,9
31,3.500911235809326,8,59
32,3.5031445026397705,25,171
33,3.5156755447387695,48,204
34,3.5355541706085205,63,99
35,3.5598840713500977,76,205
36,3.561218500137329,128,94
37,3.562570571899414,67,74
38,3.5690975189208984,11,151
39,3.5696651935577393,7,59
40,3.5696756839752197,88,11
41,3.5748186111450195,62,9
42,3.575270414352417,77,77
43,3.585153818130493,15,20
44,3.588672161102295,154,127
45,3.5908045768737793,71,68
46,3.59086537361145,46,42
47,3.595102548599243,99,97
48,3.6142115592956543,50,24
49,3.6291043758392334,166,167
50,3.6318588256835938,179,101
51,3.642832040786743,20,22
52,3.6629638671875,40,49
53,3.6800901889801025,94,100
54,3.682528257369995,125,178
55,3.6949758529663086,103,129
56,3.716075897216797,42,47
57,3.72969651222229,127,126
58,3.748161554336548,86,9
59,3.755528211593628,93,99
60,3.7604761123657227,12,20
61,3.765820026397705,95,101
62,3.7672951221466064,14,18
63,3.7767958641052246,122,204
64,3.793081283569336,91,42
65,3.793671131134033,151,74
66,3.8195462226867676,170,198
67,3.8429346084594727,131,5
68,3.8491017818450928,59,8
69,3.8742263317108154,69,68
70,3.883985996246338,68,74
71,3.8859736919403076,139,223
72,3.8876101970672607,97,181
73,3.901257038116455,33,130
74,3.909752368927002,74,22
75,3.9099931716918945,39,232
76,3.915151596069336,37,60
77,3.9358062744140625,105,79
78,3.938129425048828,140,223
79,3.9477596282958984,56,166
80,3.95194411277771,66,60
81,3.9538121223449707,41,39
82,3.955125570297241,149,154
83,3.9569199085235596,150,155
84,3.9670870304107666,58,9
85,3.972670316696167,85,9
86,3.976634979248047,195,194
87,3.989044189453125,169,198
88,3.9911153316497803,120,42
89,4.00843620300293,55,55
90,4.0127153396606445,165,9
91,4.020249366760254,96,177
92,4.021970748901367,132,5
93,4.034375190734863,19,15
94,4.0431437492370605,36,164
95,4.045871734619141,192,194
96,4.049355506896973,123,120
97,4.050296783447266,35,113
98,4.053564071655273,124,258
99,4.053803443908691,78,31
100,4.058475494384766,130,5
101,4.062356948852539,141,223
102,4.068093299865723,110,9
103,4.071432113647461,114,225
104,4.078536510467529,193,194
105,4.083939075469971,6,35
106,4.086260795593262,64,9
107,4.099484920501709,101,101
108,4.1016645431518555,60,9
109,4.10876989364624,81,81
110,4.110618591308594,21,15
111,4.113357067108154,89,9
112,4.133272647857666,111,9
113,4.139669418334961,108,6
114,4.179925441741943,70,74
115,4.183166027069092,80,80
116,4.184467315673828,28,3
117,4.188855171203613,164,221
118,4.197661876678467,92,44
119,4.20684289932251,57,9
120,4.212714672088623,34,60
121,4.2190842628479,32,9
122,4.220483779907227,112,225
123,4.227700710296631,5,9
124,4.232377052307129,188,9
125,4.237809181213379,138,249
126,4.249843120574951,190,198
127,4.26780366897583,90,42
128,4.272253513336182,47,172
129,4.2781782150268555,116,225
130,4.303313255310059,52,9
131,4.303335189819336,214,223
132,4.305858135223389,31,31
133,4.307780742645264,79,1
134,4.313676834106445,27,130
135,4.33281135559082,143,223
136,4.333754539489746,54,54
137,4.34628438949585,109,7
138,4.351025104522705,84,10
139,4.362988471984863,30,9
140,4.396366596221924,177,127
141,4.406569480895996,134,8
142,4.417864799499512,137,7
143,4.465454578399658,148,153
144,4.46951150894165,163,7
145,4.470648288726807,106,79
146,4.479099750518799,113,194
147,4.4891839027404785,107,5
148,4.516442775726318,158,7
149,4.518101692199707,145,145
150,4.5486741065979,26,6
151,4.552822589874268,191,194
152,4.555969715118408,162,9
153,4.561180114746094,189,5
154,4.5701422691345215,65,98
155,4.583108425140381,212,7
156,4.589409828186035,171,171
157,4.601799488067627,135,5
158,4.61545991897583,204,202
159,4.646129608154297,142,223
160,4.647294521331787,117,249
161,4.66042423248291,196,224
162,4.690989971160889,115,249
163,4.700035572052002,146,15
164,4.735096454620361,4,5
165,4.755482196807861,219,223
166,4.778213024139404,3,5
167,4.7828874588012695,119,43
168,4.823742866516113,104,31
169,4.829192638397217,136,8
170,4.830416679382324,29,29
171,4.847815990447998,1,10
172,4.849771022796631,157,6
173,4.852112770080566,159,5
174,4.8563690185546875,187,5
175,4.881145000457764,2,105
176,4.88308048248291,144,223
177,4.887190818786621,216,223
178,4.900625228881836,218,223
179,4.949731349945068,217,223
180,4.965734004974365,156,5
181,4.998774528503418,215,223
182,5.045890808105469,213,5
183,5.096821308135986,194,196
184,5.105647087097168,24,24
185,5.1560444831848145,160,6
186,5.206021308898926,184,80
187,5.256548881530762,133,6
188,5.291248321533203,220,223
189,5.349157810211182,121,17
190,5.439742565155029,161,31
191,5.493658542633057,185,6
192,5.542578220367432,186,5
193,5.551779747009277,61,9
194,5.5694098472595215,266,248
195,5.632665634155273,239,194
196,5.653772354125977,267,221
197,5.661375999450684,23,15
198,5.6943278312683105,242,223
199,5.774232864379883,240,221
200,5.780922889709473,118,43
