rank,distance,queryIdx,trainIdx
1,2.0029847621917725,102,102
2,2.0746307373046875,29,18
3,2.080021858215332,9,9
4,2.094839572906494,12,69
5,2.100038766860962,14,24
6,2.107062816619873,96,96
7,2.109621524810791,11,11
8,2.117882251739502,32,15
9,2.1268155574798584,33,9
10,2.141249895095825,28,11
11,2.142282009124756,70,49
12,2.143792152404785,20,29
13,2.150804042816162,99,102
14,2.151047468185425,13,7
15,2.1585521697998047,31,75
16,2.1628406047821045,57,50
17,2.1652393341064453,107,107
18,2.1664695739746094,47,43
19,2.1669158935546875,61,52
20,2.1686577796936035,21,16
21,2.171539306640625,26,24
22,2.1717162132263184,30,29
23,2.172574520111084,62,47
24,2.1815879344940186,19,6
25,2.1820194721221924,116,102
26,2.184624671936035,52,48
27,2.187753200531006,105,104
28,2.1885154247283936,10,29
29,2.1895291805267334,93,100
30,2.1900393962860107,23,69
31,2.194035530090332,15,25
32,2.1953988075256348,104,101
33,2.197098970413208,121,114
34,2.1974027156829834,75,43
35,2.2011001110076904,114,102
36,2.201951026916504,60,48
37,2.2040164470672607,18,7
38,2.204482078552246,7,28
39,2.20491361618042,101,93
40,2.207712411880493,120,102
41,2.209963798522949,115,92
42,2.2120330333709717,35,9
43,2.2148706912994385,3,29
44,2.22059965133667,54,102
45,2.222071647644043,17,43
46,2.2254114151000977,22,29
47,2.2270591259002686,25,28
48,2.228688955307007,27,7
49,2.229571580886841,69,102
50,2.229806661605835,68,42
51,2.2319366931915283,109,107
52,2.2360098361968994,2,5
53,2.2400176525115967,111,98
54,2.240499258041382,72,120
55,2.2428650856018066,79,69
56,2.2442128658294678,76,69
57,2.245880603790283,136,136
58,2.2479090690612793,51,49
59,2.2485790252685547,34,24
60,2.2496519088745117,53,111
61,2.2515108585357666,108,102
62,2.2527341842651367,122,58
63,2.2538347244262695,0,33
64,2.2539336681365967,100,103
65,2.2607154846191406,161,85
66,2.260972023010254,8,64
67,2.264289379119873,98,101
68,2.2660868167877197,110,100
69,2.2661712169647217,24,9
70,2.266850471496582,16,9
71,2.2696471214294434,5,29
72,2.2722008228302,63,43
73,2.2741942405700684,56,49
74,2.2743613719940186,67,98
75,2.2755815982818604,112,92
76,2.2768893241882324,48,44
77,2.2785394191741943,59,42
78,2.2803897857666016,119,104
79,2.283723831176758,77,74
80,2.2838048934936523,58,51
81,2.283863067626953,1,28
82,2.2857983112335205,45,51
83,2.2883036136627197,78,22
84,2.2901904582977295,97,92
85,2.291091203689575,55,48
86,2.2913880348205566,117,106
87,2.292567253112793,49,102
88,2.292598247528076,64,51
89,2.2944700717926025,40,34
90,2.2983407974243164,4,29
91,2.299112558364868,106,106
92,2.302294969558716,160,104
93,2.3097784519195557,73,49
94,2.320566177368164,143,133
95,2.3207387924194336,66,50
96,2.3208062648773193,142,188
97,2.3243143558502197,44,103
98,2.3298678398132324,36,24
99,2.3305563926696777,141,136
100,2.3312857151031494,80,9
101,2.333030939102173,6,6
102,2.336333990097046,50,50
103,2.338343620300293,103,92
104,2.339984893798828,81,71
105,2.343775749206543,145,144
106,2.3461992740631104,113,113
107,2.346442461013794,46,44
108,2.3471484184265137,118,99
109,2.3474678993225098,157,102
110,2.348884105682373,71,50
111,2.349477767944336,74,50
112,2.35630464553833,150,157
113,2.3566174507141113,147,126
114,2.3573570251464844,38,33
115,2.357727289199829,65,42
116,2.361504554748535,149,133
117,2.363034963607788,39,15
118,2.375706434249878,163,93
119,2.3762733936309814,144,144
120,2.377622365951538,151,144
121,2.3995048999786377,155,157
122,2.405038595199585,202,157
123,2.410529613494873,162,83
124,2.413633346557617,201,133
125,2.4161651134490967,148,188
126,2.416627883911133,37,25
127,2.4197282791137695,156,126
128,2.4249520301818848,154,144
129,2.4282634258270264,146,157
130,2.431187391281128,152,152
131,2.4666693210601807,200,189
132,2.468210458755493,173,173
133,2.471555233001709,159,98
134,2.475555419921875,195,186
135,2.4828481674194336,153,157
136,2.4888789653778076,158,97
137,2.489353656768799,188,181
138,2.491600513458252,196,187
139,2.5186121463775635,140,140
140,2.5237233638763428,184,186
141,2.5421977043151855,198,129
142,2.542820692062378,186,186
143,2.5468807220458984,197,179
144,2.5622246265411377,185,185
145,2.568305492401123,204,142
146,2.5727100372314453,199,141
147,2.5775513648986816,194,181
148,2.577816963195801,171,230
149,2.585015296936035,203,147
150,2.602440595626831,226,224
151,2.609828472137451,182,182
152,2.619441032409668,187,180
153,2.619962453842163,189,182
154,2.6471190452575684,172,230
155,2.647124767303467,183,179
156,2.6604666709899902,241,241
157,2.6714677810668945,244,129
158,2.673083543777466,238,243
159,2.6960031986236572,242,241
160,2.7100701332092285,243,234
161,2.7152950763702393,245,130
162,2.7242140769958496,230,230
163,2.7267446517944336,193,173
164,2.745995283126831,217,225
165,2.760282278060913,227,227
166,2.7879607677459717,229,222
167,2.788616895675659,212,225
168,2.800947904586792,225,225
169,2.833857774734497,218,218
170,2.8382389545440674,240,241
171,2.8466832637786865,139,130
172,2.846764326095581,228,225
173,2.8594706058502197,234,232
174,2.8692095279693604,239,231
175,2.878034830093384,167,188
176,2.8872549533843994,207,241
177,2.8914601802825928,236,230
178,2.8965909481048584,235,239
179,2.9143195152282715,216,225
180,2.9171032905578613,222,225
181,2.9251668453216553,177,187
182,2.9271974563598633,208,241
183,2.945821523666382,211,226
184,2.9472250938415527,205,207
185,2.952726364135742,214,214
186,2.953145742416382,286,241
187,2.9755101203918457,209,227
188,2.9801459312438965,215,235
189,2.9969482421875,271,221
190,3.0061135292053223,213,225
191,3.009608507156372,285,213
192,3.016322135925293,281,275
193,3.0171470642089844,221,225
194,3.0269405841827393,274,225
195,3.0607621669769287,258,279
196,3.0672318935394287,275,272
197,3.0698461532592773,248,270
198,3.074998617172241,267,267
199,3.0873818397521973,284,285
200,3.0908966064453125,95,95
