idx,value
0,0.2917613983154297
1,0.24237565696239471
2,0.22860810160636902
3,0.44452914595603943
4,0.4779612421989441
5,0.39718613028526306
6,0.3982728123664856
7,0.24786369502544403
8,0.39932936429977417
9,0.220174640417099
10,0.061872322112321854
11,0.2793399691581726
12,0.5881950855255127
13,0.5435641407966614
14,0.24648012220859528
15,0.08951157331466675
16,0.2289154827594757
17,0.1987890601158142
18,0.1989419013261795
19,0.2751863896846771
20,0.6591323018074036
21,0.5298908948898315
22,0.2385513335466385
23,0.1436266452074051
24,0.2062927633523941
25,0.08903323858976364
26,0.0653248131275177
27,0.25627434253692627
28,0.5370292067527771
29,0.6650412082672119
30,0.3596130311489105
31,0.1398952454328537
