rank,distance,queryIdx,trainIdx
1,17.860570907592773,7456,1204
2,18.547237396240234,8615,2321
3,18.947296142578125,7099,918
4,20.44504737854004,8266,1996
5,21.840330123901367,7770,1491
6,24.06241798400879,8793,2476
7,24.20743751525879,7773,1504
8,25.357444763183594,8565,2274
9,26.70206069946289,8105,1798
10,26.739484786987305,6914,725
11,27.12932014465332,8816,2514
12,27.82085609436035,6985,831
13,27.94637680053711,6895,740
14,28.23118782043457,7766,1497
15,28.284271240234375,6981,795
16,29.10326385498047,8607,2299
17,29.84962272644043,6663,488
18,30.01666259765625,7782,1494
19,30.049959182739258,8450,2178
20,30.265491485595703,8709,2409
21,30.903074264526367,8784,2463
22,31.272991180419922,6661,471
23,31.890438079833984,8465,2182
24,32.04684066772461,7216,1027
25,32.24903106689453,7103,915
26,33.0,8268,2011
27,33.22649383544922,7793,1518
28,33.3166618347168,6982,779
29,33.63034439086914,7167,956
30,33.852622985839844,7701,1459
31,34.01470184326172,7934,1681
32,34.1174430847168,8051,1753
33,34.27827453613281,7090,922
34,34.380226135253906,8478,2218
35,34.467376708984375,7519,1288
36,34.62657928466797,7679,1417
37,34.828147888183594,6845,640
38,35.44009017944336,8043,1734
39,35.46829605102539,6435,261
40,35.55277633666992,7846,1565
41,35.63705825805664,6436,262
42,35.88871765136719,8398,2092
43,35.986106872558594,8545,2267
44,36.055511474609375,8370,2062
45,36.09709167480469,9037,2724
46,36.13862228393555,6996,830
47,36.207733154296875,6462,289
48,36.24913787841797,7104,916
49,36.49657440185547,6839,689
50,36.932369232177734,9333,2997
51,37.1887092590332,7644,1378
52,37.85498809814453,8042,1733
53,37.93415451049805,8186,1921
54,37.960506439208984,8132,1870
55,38.249183654785156,8543,2242
56,38.85871887207031,7401,1178
57,38.987178802490234,6935,750
58,39.051246643066406,7710,1446
59,39.191837310791016,8089,1813
60,39.357337951660156,8309,1993
61,39.47150802612305,6390,187
62,39.52214431762695,7111,939
63,39.89987564086914,9143,2829
64,39.96248245239258,6833,668
65,40.112342834472656,7641,1393
66,40.174617767333984,9126,2815
67,40.199501037597656,6864,681
68,40.224369049072266,7426,1165
69,40.43513488769531,7912,1660
70,40.49691390991211,7331,1122
71,40.52159881591797,9038,2725
72,40.68169021606445,8470,2166
73,40.743099212646484,6951,763
74,40.755367279052734,8324,2024
75,40.95119094848633,7047,859
76,40.95119094848633,8650,2349
77,41.17037582397461,6968,796
78,41.34005355834961,8694,2356
79,41.521080017089844,7116,947
80,41.55718994140625,7008,806
81,41.55718994140625,8506,2231
82,41.58124542236328,8750,2428
83,41.821048736572266,8308,1992
84,42.03569793701172,7258,1042
85,42.16633605957031,8738,2408
86,42.2255859375,8778,2458
87,42.237422943115234,6428,218
88,42.24925994873047,6916,735
89,42.28474807739258,7025,810
90,42.81354904174805,7261,1070
91,42.83689880371094,7054,868
92,42.87190246582031,8282,1990
93,42.87190246582031,8571,2272
94,42.90687561035156,7186,997
95,42.91852569580078,9060,2754
96,42.93017578125,6959,809
97,43.23193359375,7548,1305
98,43.416587829589844,9043,2742
99,43.497127532958984,7627,1392
100,43.5660400390625,6983,780
101,43.79497528076172,7698,1448
102,43.806392669677734,7609,1386
103,44.0,6834,669
104,44.17012405395508,6623,478
105,44.271888732910156,7707,1439
106,44.362144470214844,9406,3069
107,44.48595428466797,8249,1961
108,44.5421142578125,9080,2730
109,44.62062454223633,6526,328
110,44.62062454223633,6720,527
111,44.67661666870117,7128,936
112,44.76605987548828,8073,1800
113,44.78839111328125,8400,2096
114,44.821868896484375,9298,2962
115,44.844173431396484,6699,511
116,45.299007415771484,9127,2816
117,45.56314468383789,7737,1468
118,45.57411575317383,9005,2704
119,45.650848388671875,9173,2844
120,45.81484603881836,8133,1871
121,45.93473815917969,7022,839
122,46.021732330322266,7718,1449
123,46.206058502197266,8575,2289
124,46.50806427001953,7059,838
125,46.70117950439453,7786,1505
126,46.80812072753906,6348,156
127,46.94677734375,7265,1064
128,47.13809585571289,8708,2414
129,47.16990661621094,8492,2205
130,47.360321044921875,7686,1412
131,47.434165954589844,9324,2992
132,47.59201431274414,6291,116
133,47.64451599121094,7593,1370
134,47.68647766113281,6504,331
135,47.68647766113281,6772,578
136,48.22862243652344,7549,1297
137,48.53864288330078,7699,1476
138,48.6209831237793,8747,2427
139,48.6723747253418,6987,799
140,48.703182220458984,7009,807
