model,stage,accuracy,precision,recall,f1,confusion_matrix
MLP,baseline_test,0.5239506172839506,0.5306427695591307,0.5289712484131849,0.5051090113115554,"[[310, 7, 12, 24, 10, 16, 35, 7, 42, 0], [0, 333, 0, 4, 0, 6, 0, 4, 13, 83], [69, 19, 70, 120, 19, 18, 72, 24, 49, 1], [59, 4, 15, 93, 19, 24, 11, 12, 106, 1], [17, 0, 1, 3, 312, 1, 0, 10, 8, 0], [4, 56, 3, 51, 1, 175, 0, 2, 12, 1], [118, 5, 12, 47, 9, 11, 120, 10, 29, 0], [32, 14, 31, 70, 44, 19, 28, 102, 133, 1], [20, 17, 2, 36, 7, 12, 1, 0, 285, 2], [0, 64, 0, 2, 0, 24, 0, 18, 35, 322]]"
MLP,tuned_test,0.5318518518518518,0.5601121300510956,0.5246230455924088,0.5031333560334283,"[[332, 6, 29, 10, 5, 18, 8, 11, 44, 0], [0, 419, 0, 0, 0, 15, 0, 4, 1, 4], [90, 14, 220, 11, 10, 13, 28, 39, 36, 0], [68, 11, 43, 44, 9, 24, 4, 28, 113, 0], [13, 0, 8, 8, 281, 1, 1, 32, 8, 0], [16, 62, 21, 0, 1, 167, 0, 4, 34, 0], [156, 9, 65, 7, 3, 13, 54, 23, 31, 0], [30, 21, 101, 21, 27, 12, 8, 176, 78, 0], [25, 50, 7, 21, 1, 14, 0, 7, 257, 0], [1, 172, 8, 0, 0, 37, 0, 13, 30, 204]]"
RESNET,baseline_test,0.9545679012345679,0.9543335034107132,0.9532633226231262,0.9536302275586476,"[[437, 0, 5, 0, 0, 9, 6, 0, 2, 4], [0, 433, 3, 0, 0, 3, 0, 0, 0, 4], [3, 2, 431, 0, 0, 10, 9, 2, 3, 1], [3, 0, 1, 326, 2, 1, 2, 0, 9, 0], [0, 0, 2, 2, 342, 0, 2, 4, 0, 0], [3, 2, 6, 0, 0, 291, 1, 0, 2, 0], [11, 0, 27, 0, 0, 1, 322, 0, 0, 0], [0, 0, 5, 0, 5, 0, 2, 462, 0, 0], [9, 0, 1, 7, 0, 3, 0, 0, 361, 1], [1, 2, 0, 0, 0, 0, 0, 0, 1, 461]]"
RESNET,tuned_test,0.9449382716049383,0.9424161750471551,0.9458677995863656,0.9436943623226295,"[[418, 0, 5, 1, 0, 20, 9, 0, 8, 2], [0, 437, 0, 0, 0, 3, 0, 0, 0, 3], [2, 6, 411, 2, 1, 12, 22, 2, 2, 1], [1, 0, 1, 333, 2, 1, 2, 0, 4, 0], [0, 0, 0, 13, 334, 0, 2, 3, 0, 0], [0, 2, 5, 0, 0, 296, 2, 0, 0, 0], [8, 0, 26, 1, 1, 1, 323, 0, 1, 0], [0, 0, 12, 7, 10, 0, 1, 444, 0, 0], [5, 0, 0, 4, 0, 3, 1, 0, 368, 1], [0, 1, 0, 0, 0, 0, 0, 0, 1, 463]]"
CONVNEXT,baseline_test,0.7903703703703704,0.7885408372359477,0.7834142906377422,0.7839437995158776,"[[371, 2, 9, 6, 0, 15, 36, 0, 19, 5], [0, 394, 4, 1, 0, 16, 0, 2, 1, 25], [3, 1, 305, 15, 11, 14, 88, 14, 9, 1], [12, 0, 9, 211, 22, 7, 47, 11, 25, 0], [0, 0, 9, 8, 318, 0, 2, 15, 0, 0], [1, 21, 8, 8, 0, 217, 30, 0, 19, 1], [14, 0, 49, 15, 1, 2, 263, 12, 5, 0], [0, 0, 19, 17, 5, 0, 10, 423, 0, 0], [15, 1, 5, 59, 3, 10, 11, 0, 277, 1], [1, 35, 1, 3, 0, 1, 0, 0, 2, 422]]"
CONVNEXT,tuned_test,0.851358024691358,0.8466768251386771,0.8464463556659304,0.8441120171669036,"[[395, 2, 10, 4, 0, 16, 20, 1, 8, 7], [0, 389, 4, 0, 0, 18, 0, 0, 2, 30], [2, 1, 379, 12, 3, 14, 16, 14, 18, 2], [3, 0, 5, 271, 22, 8, 5, 15, 15, 0], [0, 0, 0, 6, 339, 0, 0, 7, 0, 0], [4, 13, 7, 3, 0, 261, 10, 1, 4, 2], [14, 0, 77, 17, 0, 17, 219, 12, 5, 0], [0, 0, 14, 10, 21, 0, 3, 425, 1, 0], [10, 0, 4, 33, 0, 15, 3, 1, 311, 5], [0, 4, 0, 0, 0, 1, 0, 0, 1, 459]]"
