loss,f1_score,status,base_dim,depth1,depth2,depth3,dim_growth,lr,model_type
0.979124281291464,0.020875718708535995,ok,96,2,3,3,2.0,0.03781173792357096,convnext
0.17746320987317044,0.8225367901268296,ok,80,2,2,2,1.5,0.006574224412038963,convnext
0.23238350708190003,0.7676164929181,ok,48,3,2,2,1.5,0.008725899944559396,convnext
0.2035355893882106,0.7964644106117894,ok,64,2,2,3,2.0,0.0030721881469396232,convnext
0.35736175049511654,0.6426382495048835,ok,48,3,2,3,1.5,0.004900512003093161,convnext
0.17187014598064843,0.8281298540193516,ok,96,3,3,2,2.0,0.001353731238178278,convnext
0.19828383523186177,0.8017161647681382,ok,48,3,3,2,2.0,0.002246906518888923,convnext
0.13201751409436713,0.8679824859056329,ok,64,2,3,3,2.0,0.0054461489897965195,convnext
0.12634800490831333,0.8736519950916867,ok,48,3,2,3,2.0,0.0027429904658480627,convnext
0.3212343647055882,0.6787656352944118,ok,64,2,3,3,2.0,0.027376688166938893,convnext
0.35381752528719834,0.6461824747128017,ok,96,3,3,3,2.0,0.035334016998132586,convnext
0.26545397202900745,0.7345460279709926,ok,96,3,3,3,2.0,0.007209359495347599,convnext
0.15004454754365815,0.8499554524563419,ok,96,2,3,3,2.0,0.001809805936400695,convnext
0.4647338587181038,0.5352661412818962,ok,96,2,3,2,2.0,0.028170594575201935,convnext
0.1777484969359362,0.8222515030640638,ok,96,2,3,3,2.0,0.00598708448729844,convnext
