loss,f1_score,status,max_features,n_estimators,model_type
0.4564156390279731,0.5435843609720269,ok,0.9,1350,rf
0.45767441015002275,0.5423255898499773,ok,0.8,900,rf
0.4697735503943795,0.5302264496056205,ok,0.6000000000000001,1050,rf
0.4477202632618654,0.5522797367381346,ok,0.7000000000000001,600,rf
0.47284041005203825,0.5271595899479617,ok,0.6000000000000001,750,rf
0.45697034786562474,0.5430296521343753,ok,0.9,450,rf
0.46845960816271714,0.5315403918372829,ok,0.6000000000000001,600,rf
0.45003458059581125,0.5499654194041887,ok,0.7000000000000001,900,rf
0.4425240331288094,0.5574759668711906,ok,0.5,600,rf
0.4442565680064441,0.5557434319935559,ok,0.7000000000000001,1350,rf
0.4564156390279731,0.5435843609720269,ok,0.9,1350,rf
0.46169898309797885,0.5383010169020211,ok,1.0,900,rf
0.45697034786562474,0.5430296521343753,ok,0.9,450,rf
0.4564156390279731,0.5435843609720269,ok,0.9,1350,rf
0.46169898309797885,0.5383010169020211,ok,1.0,900,rf
0.4573613743551752,0.5426386256448248,ok,0.8,600,rf
0.45003458059581125,0.5499654194041887,ok,0.7000000000000001,900,rf
0.4573613743551752,0.5426386256448248,ok,0.8,600,rf
0.47284041005203825,0.5271595899479617,ok,0.6000000000000001,750,rf
0.4442565680064441,0.5557434319935559,ok,0.7000000000000001,1350,rf
0.44644525376578736,0.5535547462342126,ok,0.5,1200,rf
0.4442439186546192,0.5557560813453808,ok,0.5,300,rf
0.4442439186546192,0.5557560813453808,ok,0.5,300,rf
0.4442439186546192,0.5557560813453808,ok,0.5,300,rf
