loss,f1_score,status,colsample_bytree,learning_rate,max_depth,subsample,model_type
0.40736862939306906,0.5926313706069309,ok,1.0,0.2773823308673778,9,1.0,xgb
0.3946320079949256,0.6053679920050744,ok,0.6000000000000001,0.11663655904943783,9,0.7000000000000001,xgb
0.3892935089360591,0.6107064910639409,ok,0.7000000000000001,0.06250317874105582,6,0.8,xgb
0.4034091883682639,0.5965908116317361,ok,0.7000000000000001,0.29027983123830764,6,0.7000000000000001,xgb
0.369517993013867,0.630482006986133,ok,0.5,0.19217656427772226,3,0.7000000000000001,xgb
0.38018827566477076,0.6198117243352292,ok,1.0,0.05600528578360038,9,0.5,xgb
0.37927218267398,0.62072781732602,ok,1.0,0.05394672168126783,6,0.6000000000000001,xgb
0.40697833062852395,0.593021669371476,ok,1.0,0.2576437576074517,6,0.7000000000000001,xgb
0.4054386724895279,0.5945613275104721,ok,0.7000000000000001,0.35631612260607,3,0.6000000000000001,xgb
0.3836087178124482,0.6163912821875518,ok,0.9,0.1644755103676998,6,0.9,xgb
0.41276308308985044,0.5872369169101496,ok,0.9,0.18020089575696113,12,1.0,xgb
0.3960305196244366,0.6039694803755634,ok,0.9,0.17384964356752397,12,0.8,xgb
0.3923599150016277,0.6076400849983723,ok,1.0,0.29138243812322473,12,0.6000000000000001,xgb
0.3990477383224319,0.6009522616775681,ok,1.0,0.11252289963881124,9,0.9,xgb
0.38660790977004245,0.6133920902299576,ok,0.9,0.22887719872394516,12,0.7000000000000001,xgb
0.4015984174422046,0.5984015825577954,ok,0.7000000000000001,0.19504566670852835,9,0.6000000000000001,xgb
0.3566725137547183,0.6433274862452817,ok,0.5,0.07663282515155234,6,0.7000000000000001,xgb
0.37920749103437223,0.6207925089656278,ok,0.7000000000000001,0.2701757781808537,9,0.6000000000000001,xgb
0.3865696983911895,0.6134303016088105,ok,1.0,0.08033276530734008,6,0.7000000000000001,xgb
0.3727594844268488,0.6272405155731512,ok,0.9,0.07716239976162667,6,0.9,xgb
0.38045672111576834,0.6195432788842317,ok,0.5,0.13261583029879526,3,0.5,xgb
0.3721384606532532,0.6278615393467468,ok,0.5,0.10177585584575603,3,0.8,xgb
0.36957510308643826,0.6304248969135617,ok,0.6000000000000001,0.07605735502842861,3,0.8,xgb
0.3585058549223139,0.6414941450776861,ok,0.6000000000000001,0.09236443442650327,3,0.5,xgb
0.3582271988262701,0.6417728011737299,ok,0.6000000000000001,0.09310894626341426,3,0.5,xgb
0.3667807204800603,0.6332192795199397,ok,0.6000000000000001,0.06806372439257034,3,0.5,xgb
0.3730559066561089,0.6269440933438911,ok,0.5,0.09235498093796661,3,0.5,xgb
0.38475801829948997,0.61524198170051,ok,0.8,0.05015801415555342,6,0.6000000000000001,xgb
0.3806555824344906,0.6193444175655094,ok,0.6000000000000001,0.1436423496837199,3,1.0,xgb
0.38989830487775035,0.6101016951222497,ok,0.5,0.09107256708532435,6,0.9,xgb
0.385617584566765,0.614382415433235,ok,0.6000000000000001,0.12552492034748755,9,0.5,xgb
0.35905459411708807,0.6409454058829119,ok,0.5,0.06441151606441768,6,0.8,xgb
