loss,f1_score,status,C,kernel,model_type
0.4635652897738558,0.5364347102261442,ok,12.106855090010626,linear,svm
0.5396959570447764,0.46030404295522365,ok,1.6725384036735575,linear,svm
0.6844904028282264,0.3155095971717736,ok,0.07182731467722016,rbf,svm
0.8634571448317153,0.13654285516828468,ok,0.2902577385688866,linear,svm
0.7242891934153132,0.27571080658468683,ok,0.06532652659520517,rbf,svm
0.45262337092575133,0.5473766290742487,ok,8.228596203911241,rbf,svm
0.9896207584830339,0.01037924151696612,ok,0.08134565519585929,linear,svm
0.7441356579860243,0.2558643420139757,ok,0.5131595930493706,linear,svm
0.9896207584830339,0.01037924151696612,ok,0.038725299014287465,linear,svm
0.45038469682669424,0.5496153031733058,ok,0.9827942719760002,rbf,svm
0.4589180897056393,0.5410819102943607,ok,17.79876083865358,rbf,svm
0.4547639434225891,0.5452360565774109,ok,31.594020681811166,linear,svm
0.4647708309459335,0.5352291690540665,ok,15.769295608045311,linear,svm
0.45262337092575133,0.5473766290742487,ok,8.310471233053713,rbf,svm
0.45481903975496396,0.545180960245036,ok,29.374415245815985,linear,svm
0.4211424671031109,0.5788575328968891,ok,3.173365954716054,rbf,svm
0.5042975646274217,0.4957024353725783,ok,0.20556803071448648,rbf,svm
0.42771730272115827,0.5722826972788417,ok,1.9282443560231222,rbf,svm
0.5225711608270937,0.47742883917290635,ok,0.14506568961002744,rbf,svm
0.6389206713345574,0.36107932866544257,ok,0.8116457027403298,linear,svm
0.4238685599796824,0.5761314400203176,ok,3.0720133183861993,rbf,svm
0.44252018691096595,0.557479813089034,ok,4.178325053855024,rbf,svm
0.43809143736593725,0.5619085626340627,ok,4.436650057534387,rbf,svm
0.42674879665972554,0.5732512033402745,ok,2.8623043997439996,rbf,svm
0.4501512242827619,0.5498487757172381,ok,0.5159682799792902,rbf,svm
0.43809143736593725,0.5619085626340627,ok,4.693619079424971,rbf,svm
0.4409275055335562,0.5590724944664438,ok,1.7086594190868645,rbf,svm
0.4501512242827619,0.5498487757172381,ok,0.5011648321362854,rbf,svm
0.45663517611402704,0.543364823885973,ok,7.117561985674937,rbf,svm
0.4318108871417593,0.5681891128582407,ok,2.667163565480931,rbf,svm
0.4420459886777729,0.5579540113222271,ok,1.3345002144413962,rbf,svm
0.9896207584830339,0.01037924151696612,ok,0.020953313731912157,rbf,svm
0.4588157677180589,0.5411842322819411,ok,41.986188146213934,rbf,svm
0.47715990906285477,0.5228400909371452,ok,0.323443145720737,rbf,svm
0.46160322416405186,0.5383967758359481,ok,51.72631296893777,rbf,svm
0.4559710999751734,0.5440289000248266,ok,12.885909865396323,rbf,svm
0.4318986612988529,0.5681013387011471,ok,2.635529433092413,rbf,svm
0.6593472392381756,0.3406527607618244,ok,0.7421690001757334,linear,svm
0.456497535976387,0.543502464023613,ok,7.916527390895796,rbf,svm
0.4379233048367237,0.5620766951632763,ok,1.247764783212003,rbf,svm
0.4503889815224106,0.5496110184775894,ok,21.210317921822853,linear,svm
0.5432474932688863,0.45675250673111367,ok,0.12602560779894154,rbf,svm
0.47448144107224055,0.5255185589277594,ok,6.234051922309756,linear,svm
0.4559710999751734,0.5440289000248266,ok,12.27707844280085,rbf,svm
0.4620575876265456,0.5379424123734544,ok,22.063220938790025,rbf,svm
0.9896207584830339,0.01037924151696612,ok,0.04156461993778294,linear,svm
